title_scraped,url,views_text,upload_text,duration_text,channel,views,days_since_upload_scraped,duration_minutes_scraped,videoId,title_length_scraped,num_hashtags,was_scraped_scraped,was_api_scraped,title_api,description,tags,publishedAt,channelId,channelTitle,categoryId,duration,viewCount,likeCount,commentCount,duration_minutes_api,publishedAt_dt,days_since_upload_api,engagement_rate,title_length_api,tag_count,was_scraped_api,was_api_api,views_canonical,title_length,description_length,keyword_count,duration_minutes,days_since_upload,duration_minutes_norm,days_since_upload_norm,title_length_norm,description_length_norm,keyword_count_norm,views_norm,engagement_rate_norm
Ranking Funniest TikTok Bird Trend😂 - part 4,https://www.youtube.com/shorts/LhqB7j0w9cA,7.6M views,7 days ago,,EpicCast,7600000.0,7.0,,LhqB7j0w9cA,44.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,7600000.0,44,0,1,,7.0,,0.006392063921907612,0.4105263157894737,0.0,0.3333333333333333,0.032883081956993604,0.0
Top 17 New Technology Trends That Will Define 2026,https://www.youtube.com/watch?v=Otim2mDjsYM&pp=ygUIdHJlbmRpbmc%3D,332K views,2 months ago,12:10,AI Uncovered,332000.0,0.0013888888888888,12.166666666666666,Otim2mDjsYM,50.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,332000.0,50,0,0,12.166666666666666,0.0013888888888888,0.017016317016317017,6.341962418798693e-07,0.47368421052631576,0.0,0.0,0.0014349156183129648,0.0
Top Hits Spotify 2025 ~ Trending Songs 2025 🎵 Viral Songs Latest & New Pop Hits Playlist Mix 2025,https://www.youtube.com/watch?v=Gt8-xhZceaU&list=RDGt8-xhZceaU&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,329K views,9 days ago,2:30:53,Dynamic Deep House,329000.0,9.0,150.88333333333333,Gt8-xhZceaU,97.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,329000.0,97,0,1,150.88333333333333,9.0,0.211025641025641,0.008218549098521752,0.968421052631579,0.0,0.3333333333333333,0.001421934812174269,0.0
How To Find Trending Topics On YouTube Before Everyone Else (2025),https://www.youtube.com/watch?v=33lry2LGOhU&pp=ygUIdHJlbmRpbmc%3D,15K views,1 month ago,27:44,Shane Hummus,15000.0,0.0006944444444444,27.73333333333333,33lry2LGOhU,66.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,15000.0,66,0,1,27.73333333333333,0.0006944444444444,0.03878787878787878,0.0,0.6421052631578947,0.0,0.3333333333333333,6.327710299076302e-05,0.0
Love this dance trend ❤️😱@itsNovasWorld #dance #trends #shorts,https://www.youtube.com/shorts/LJ9X4cUCvH0,17M views,2 months ago,,Nisha Noelle,17000000.0,0.0013888888888888,,LJ9X4cUCvH0,62.0,3,True,False,Love this dance trend ❤️😱@itsNovasWorld #dance #trends #shorts,"#britainnoelle #britainlee #baylaanoelle #bayalaarose #shortsvideo #shortsfeed #shortsviral #familyfun #sisters #britainandbaylaa #nishaandfam #familychannel 

Nisha and fam | Nishaandfam | Nisha Noelle | Nisha Noelle fam | Britain and Baylaa | Britain Noelle | Baylaa Noelle | Britainlee | Baylaarose | TikTok trend | big family | relatable | funny trend | Sephora kids | Sephora | outfit ideas | outfit INSPO | affordable style | preppy outfits | tween mom | tween style | tweens | coordinating outfits | mom and daughter style | ootd | outfit of the day | shopping vlog | ulta | Britain Baylaa and Boston | Britain and Baylaa singing | Britain and Baylaa Youtube | Britain and Baylaa shorts | Britain and Baylaa Tiktok  | Britain Baylaa and Boston","['nisha and fam', 'nishaandfam', 'britain and bayla', 'britain and baylaa', 'britain and baylaa singing', 'Britain and Baylaa age', 'Britain and Bayla age', 'Britain nishaandfam', 'grwm', 'singing', 'shorts', 'tiktok', 'trends', 'get ready with me', 'nisha and fam tiktok', 'nisha and fam youtube', 'nisha noelle', 'big family', 'sephora kids', 'outfit ideas', 'Britain Baylaa and Boston', 'baylaa noelle', 'britain noelle', 'baylaa rose', 'britain lee', 'tween', 'tweens', 'mila and emma', 'garza crew']",2025-08-06T00:10:20Z,UCEXtDSSMjSWw9g4VxN3Gi8A,Nisha Noelle,22.0,PT9S,17344969.0,144381.0,3077.0,0.15,2025-08-06 00:10:20+00:00,79.64441053802082,0.008674,62.0,29.0,False,True,17344969.0,62,750,0,0.15,0.0013888888888888,0.0002097902097902098,6.341962418798693e-07,0.6,0.1797698945349952,0.0,0.07355627452490747,0.00443190922353704
YouTube is REMOVING The Trending Page...,https://www.youtube.com/watch?v=ZhRvUC2vGNY&pp=ygUIdHJlbmRpbmc%3D,94K views,3 months ago,6:47,Timeworks,94000.0,0.0020833333333333,6.783333333333333,ZhRvUC2vGNY,40.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,94000.0,40,0,1,6.783333333333333,0.0020833333333333,0.009487179487179488,1.2683924837598298e-06,0.3684210526315789,0.0,0.3333333333333333,0.00040510499797642214,0.0
New Tiktok Mashup 2025 Philippines Party Music Viral Dance Trends October 24th,https://www.youtube.com/watch?v=ZnDs27UXWIo&pp=ygUIdHJlbmRpbmc%3D,292K views,16 hours ago,5:36,Kuya Magik,292000.0,0.6666666666666666,5.6,ZnDs27UXWIo,78.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,292000.0,78,0,1,5.6,0.6666666666666666,0.007832167832167832,0.0006081941959628336,0.7684210526315789,0.0,0.3333333333333333,0.0012618382031303525,0.0
Mainey kare kand Trending reels editing | Hola amigo song video editing | Instagram Trending Editing,https://www.youtube.com/watch?v=q6PQEvM58Vc&pp=ygUIdHJlbmRpbmc%3D,3.9K views,1 day ago,3:00,Rohit Verma,3900.0,1.0,3.0,q6PQEvM58Vc,100.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,3900.0,100,0,2,3.0,1.0,0.004195804195804196,0.0009126083920651903,1.0,0.0,0.6666666666666666,1.5248120277588135e-05,0.0
happy diwali 🙈❤️🌚 SIMPAL KHAREL NEW TRENDING TIKTOK/ REELS VIDEO #simpalkharel  #shorts #trending,https://www.youtube.com/shorts/8_yvQW1pZk0,26M views,9 days ago,,Simpal Kharel,26000000.0,9.0,,8_yvQW1pZk0,97.0,3,True,False,happy diwali 🙈❤️🌚 SIMPAL KHAREL NEW TRENDING TIKTOK/ REELS VIDEO #simpalkharel  #shorts #trending,,"['simpal kharel', 'simpal kharel videos', 'simpalkharel', 'simple kharel', 'simple', 'simpal', 'simpal kharel makeup', 'simpal kharel shorts', 'simpal kharel viral reels', 'simpal kharel viral videos', 'simpal kharel trending tiktok', 'simpal kharel trending reels', 'simpal kharel channel', 'simpal kharel viral', 'simpal kharel new song', 'simpal kharel reaction video', 'simpal kharel tiktok reaction', 'diwali meme', 'happy diwali', 'diwali 2025', 'diwali reels']",2025-10-15T04:49:20Z,UCewbVCg5R3C9IBVrp-u0VFw,Simpal Kharel,24.0,PT6S,26167077.0,314718.0,5776.0,0.1,2025-10-15 04:49:20+00:00,9.450660538020834,0.012326692307692308,97.0,21.0,False,True,26167077.0,97,0,2,0.1,9.0,0.00013986013986013986,0.008218549098521752,0.968421052631579,0.0,0.6666666666666666,0.11249869294099522,0.00629822242727284
Suspect trend 😂 #twins #garzacrew #trends,https://www.youtube.com/shorts/Ut1TA8M_a2Y,11M views,11 months ago,,Garza Crew,11000000.0,0.0076388888888888,,Ut1TA8M_a2Y,41.0,3,True,False,Suspect trend 😂 #twins #garzacrew #trends,"Follow us on all other socials!

TikTok -  https://www.tiktok.com/@garzacrew?lang=en
Instagram - https://www.instagram.com/garzacrew?igsh=MTNueHhqdjFiY2t3bg==
Facebook - https://www.facebook.com/officialgarzacrew?mibextid=LQQJ4d&rdid=U78CXIa3tI1z9ENk

#twin #tiktok #momtok #twingirls #trend #twinmom #funny #funnytrends 

Garza Crew / garzacrew / Garza crew twins / Garza crew youtube / Garza crew TikTok / Garza crew twins TikTok / Garza crew twin girls / twins / twin girls / twin sisters / Garza crew family / Garza crew age / Garza crew Instagram / Koti and Haven / Haven and Koti / Koti and Haven Garza / Haven and Koti Garza / Haven and Koti YouTube / Koti and Haven YouTube / Koti and Haven TikTok / Haven and Koti TikTok / Koti and Haven GRWM / Haven and Koti GRWM / Garza crew GRWM / Garza crew twins GRWM / Koti and Haven age / Haven and Koti age / Garza crew skincare  / Adrea Garza / Adrea Garza tiktok / Garza crew mom / Garza twins / twin mom / Garza crew controversy / gen alpha / skincare for kids / kids skincare","['Garza Crew', 'garzacrew', 'Garza crew twins', 'Garza crew youtube', 'Garza crew TikTok', 'Garza crew twin girls', 'twins', 'twin girls', 'Koti and Haven Garza', 'Haven and Koti Garza', 'Haven and Koti YouTube', 'Garza crew GRWM', 'Garza crew skincare', 'Adrea Garza', 'Garza crew mom', 'twin mom', 'garza crew', 'Garza crew twins TikTok', 'Garza crew family', 'Garza crew instagram', 'Haven and Koti TikTok', 'Garza crew twins GRWM', 'gen alpha', 'shorts', 'trend', 'Koti and Haven YouTube', 'suspect trend', 'suspect challenge']",2024-11-15T02:18:11Z,UCGeNsYOMXp0WIp0b3qrrryw,Garza Crew,22.0,PT26S,11179484.0,126319.0,2223.0,0.4333333333333333,2024-11-15 02:18:11+00:00,343.5556258157986,0.011685636363636363,41.0,28.0,False,True,11179484.0,41,1030,0,0.4333333333333333,0.0076388888888888,0.000606060606060606,6.341962418799058e-06,0.37894736842105264,0.24688398849472676,0.0,0.04759466224751564,0.005970680145596015
KAYLA & KALLI VIRAL BIRD TREND #tiktok #viral #popular #trending #funny #bff #trend #dance #birds,https://www.youtube.com/shorts/cZfNs8rG8Xc,1.1M views,5 days ago,,PurpleStars02,1100000.0,5.0,,cZfNs8rG8Xc,97.0,9,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,1100000.0,97,0,2,,5.0,,0.004565578745293472,0.968421052631579,0.0,0.6666666666666666,0.0047580019898191194,0.0
Rate this transition 1-10!!! #makeup #beauty #makeuptutorial #makeupartist #shorts #trending #trend,https://www.youtube.com/shorts/s4CrXY4lm-Q,2.3M views,5 months ago,,Tyler Schmitt,2300000.0,0.0034722222222222,,s4CrXY4lm-Q,99.0,7,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,2300000.0,99,0,2,,0.0034722222222222,,2.5367849675196596e-06,0.9894736842105263,0.0,0.6666666666666666,0.009950324445297485,0.0
Rell Vert & Bloodhound Q50 - Trending Topic (Official Music Video),https://www.youtube.com/watch?v=kX9Lgt-EWWM&list=RDkX9Lgt-EWWM&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,253K views,8 days ago,2:10,Bloodhound Q50,253000.0,8.0,2.1666666666666665,kX9Lgt-EWWM,66.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,253000.0,66,0,2,2.1666666666666665,8.0,0.0030303030303030303,0.007305306510214682,0.6421052631578947,0.0,0.6666666666666666,0.0010930877233273056,0.0
This trend!,https://www.youtube.com/shorts/8gyUBy5Xt5M,6.1M views,1 month ago,,Favorite Creators,6100000.0,0.0006944444444444,,8gyUBy5Xt5M,11.0,0,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,6100000.0,11,0,0,,0.0006944444444444,,0.0,0.06315789473684211,0.0,0.0,0.026392678887645644,0.0
#trending #tiktok #challenge #trend #music,https://www.youtube.com/shorts/ALp8zOseiy8,30M views,1 month ago,,Luna Vyxen,30000000.0,0.0006944444444444,,ALp8zOseiy8,42.0,5,True,False,,,,,,,-1.0,,,0.0,0.0,,,,0.0,,,,,30000000.0,42,0,3,,0.0006944444444444,,0.0,0.3894736842105263,0.0,1.0,0.12980643445925644,0.0
